Validador;Fonte_API;Indicador;Codigo_Endpoint;URL_Base;URL_Completa;Observacoes
IBGE;IBGE/SIDRA;Renda real per capita;/t/6390/n1/all/v/5933/p/all;https://apisidra.ibge.gov.br/values;https://apisidra.ibge.gov.br/values/t/6390/n1/all/v/5933/p/all;
IBGE;IBGE/SIDRA;Renda nominal per capita;/t/6390/n1/all/v/5929/p/all;https://apisidra.ibge.gov.br/values;https://apisidra.ibge.gov.br/values/t/6390/n1/all/v/5929/p/all;
IBGE;IBGE/SIDRA;Taxa de desemprego;/t/6381/n1/all/v/4099/p/all/d/v4099%201;https://apisidra.ibge.gov.br/values;https://apisidra.ibge.gov.br/values/t/6381/n1/all/v/4099/p/all/d/v4099%201;
IBGE;IBGE/SIDRA;População Ocupada (Mil pessoas);/t/6320/n1/all/v/4090/p/all/c11913/96165;https://apisidra.ibge.gov.br/values;https://apisidra.ibge.gov.br/values/t/6320/n1/all/v/4090/p/all/c11913/96165;
IBGE;IBGE/SIDRA;População Ocupada com Carteira (Mil pessoas);/t/6320/n1/all/v/4090/p/all/c11913/31722;https://apisidra.ibge.gov.br/values;https://apisidra.ibge.gov.br/values/t/6320/n1/all/v/4090/p/all/c11913/31722;
IBGE;IBGE/SIDRA;População Ocupada sem Carteira (Mil pessoas);/t/6320/n1/all/v/4090/p/all/c11913/31723;https://apisidra.ibge.gov.br/values;https://apisidra.ibge.gov.br/values/t/6320/n1/all/v/4090/p/all/c11913/31723;
IBGE;IBGE/SIDRA;População Ocupada como Trabalhador Doméstico (Mil pessoas);/t/6320/n1/all/v/4090/p/all/c11913/31724;https://apisidra.ibge.gov.br/values;https://apisidra.ibge.gov.br/values/t/6320/n1/all/v/4090/p/all/c11913/31724;
IBGE;IBGE/SIDRA;População Ocupada no Setor Público (Mil pessoas);/t/6320/n1/all/v/4090/p/all/c11913/31727;https://apisidra.ibge.gov.br/values;https://apisidra.ibge.gov.br/values/t/6320/n1/all/v/4090/p/all/c11913/31727;
IBGE;IBGE/SIDRA;População Ocupada como Empregador (Mil pessoas);/t/6320/n1/all/v/4090/p/all/c11913/96170;https://apisidra.ibge.gov.br/values;https://apisidra.ibge.gov.br/values/t/6320/n1/all/v/4090/p/all/c11913/96170;
IBGE;IBGE/SIDRA;População Ocupada como Conta-Própria (Mil pessoas);/t/6320/n1/all/v/4090/p/all/c11913/96171;https://apisidra.ibge.gov.br/values;https://apisidra.ibge.gov.br/values/t/6320/n1/all/v/4090/p/all/c11913/96171;
IBGE;IBGE/SIDRA;População Ocupada Trabalhador familiar auxiliar (Mil pessoas);/t/6320/n1/all/v/4090/p/all/c11913/31731;https://apisidra.ibge.gov.br/values;https://apisidra.ibge.gov.br/values/t/6320/n1/all/v/4090/p/all/c11913/31731;
IBGE;IBGE/SIDRA;Produção de alimentos - índice;/t/8887/n1/all/v/12606/p/all/c543/129285/d/v12606%205;https://apisidra.ibge.gov.br/values;https://apisidra.ibge.gov.br/values/t/8887/n1/all/v/12606/p/all/c543/129285/d/v12606%205;
IBGE;IBGE/SIDRA;População Ocupada Trabalhador Informal (Mil pessoas);/t/6320/n1/all/v/4090/p/all/c11913/31723,31726,31729,31731,45935,45937;https://apisidra.ibge.gov.br/values;https://apisidra.ibge.gov.br/values/t/6320/n1/all/v/4090/p/all/c11913/31723,31726,31729,31731,45935,45937;Soma de categorias a partir de dez/2015. Histórico complementado pelo arquivo auxiliar: NAO APAGAR - POCTI.csv
IBGE;IBGE/SIDRA;População Ocupada Trabalhador Formal (Mil pessoas);/t/6320/n1/all/v/4090/p/all/c11913/31722,31725,31728,31730,45934,45936;https://apisidra.ibge.gov.br/values;https://apisidra.ibge.gov.br/values/t/6320/n1/all/v/4090/p/all/c11913/31722,31725,31728,31730,45934,45936;Soma de categorias a partir de dez/2015. Histórico complementado pelo arquivo auxiliar: NAO APAGAR - POCTF.csv
BACEN;BCB/SGS;INPC índice;188;https://api.bcb.gov.br/dados/serie/bcdata.sgs.{codigo}/dados?formato=json;https://api.bcb.gov.br/dados/serie/bcdata.sgs.188/dados?formato=json;
BACEN;BCB/SGS;IGPM índice;189;https://api.bcb.gov.br/dados/serie/bcdata.sgs.{codigo}/dados?formato=json;https://api.bcb.gov.br/dados/serie/bcdata.sgs.189/dados?formato=json;
BACEN;BCB/SGS;IGPDI índice;190;https://api.bcb.gov.br/dados/serie/bcdata.sgs.{codigo}/dados?formato=json;https://api.bcb.gov.br/dados/serie/bcdata.sgs.190/dados?formato=json;
BACEN;BCB/SGS;IPCBr índice;191;https://api.bcb.gov.br/dados/serie/bcdata.sgs.{codigo}/dados?formato=json;https://api.bcb.gov.br/dados/serie/bcdata.sgs.191/dados?formato=json;
BACEN;BCB/SGS;INCC índice;192;https://api.bcb.gov.br/dados/serie/bcdata.sgs.{codigo}/dados?formato=json;https://api.bcb.gov.br/dados/serie/bcdata.sgs.192/dados?formato=json;Nome no old_script: "INCC índice (DESCONTINUADO)". No Cognos o nome é "INCC índice"
BACEN;BCB/SGS;ICV índice;194;https://api.bcb.gov.br/dados/serie/bcdata.sgs.{codigo}/dados?formato=json;https://api.bcb.gov.br/dados/serie/bcdata.sgs.194/dados?formato=json;
BACEN;BCB/SGS;Cesta básica;7493;https://api.bcb.gov.br/dados/serie/bcdata.sgs.{codigo}/dados?formato=json;https://api.bcb.gov.br/dados/serie/bcdata.sgs.7493/dados?formato=json;Nome no old_script: "Cesta básica (São Paulo)". No Cognos o nome é "Cesta básica"
BACEN;BCB/SGS;IPCA índice;433;https://api.bcb.gov.br/dados/serie/bcdata.sgs.{codigo}/dados?formato=json;https://api.bcb.gov.br/dados/serie/bcdata.sgs.433/dados?formato=json;
BACEN;BCB/SGS;PIB agropecuário índice;22083;https://api.bcb.gov.br/dados/serie/bcdata.sgs.{codigo}/dados?formato=json;https://api.bcb.gov.br/dados/serie/bcdata.sgs.22083/dados?formato=json;Data publicada com 2 meses de defasagem — ajuste aplicado no código. Nome no old_script: "PIB agropecuário indice"
BACEN;BCB/SGS;IPCA saúde índice;1641;https://api.bcb.gov.br/dados/serie/bcdata.sgs.{codigo}/dados?formato=json;https://api.bcb.gov.br/dados/serie/bcdata.sgs.1641/dados?formato=json;
BACEN;BCB/SGS;INPC saúde índice;1650;https://api.bcb.gov.br/dados/serie/bcdata.sgs.{codigo}/dados?formato=json;https://api.bcb.gov.br/dados/serie/bcdata.sgs.1650/dados?formato=json;
BACEN;BCB/SGS;Depósito de poupança (R$ milhares);1835;https://api.bcb.gov.br/dados/serie/bcdata.sgs.{codigo}/dados?formato=json;https://api.bcb.gov.br/dados/serie/bcdata.sgs.1835/dados?formato=json;
BACEN;BCB/SGS;Câmbio dólar;3696;https://api.bcb.gov.br/dados/serie/bcdata.sgs.{codigo}/dados?formato=json;https://api.bcb.gov.br/dados/serie/bcdata.sgs.3696/dados?formato=json;Nome no old_script: "Câmbio Dolar"
BACEN;BCB/SGS;SELIC;4189;https://api.bcb.gov.br/dados/serie/bcdata.sgs.{codigo}/dados?formato=json;https://api.bcb.gov.br/dados/serie/bcdata.sgs.4189/dados?formato=json;
BACEN;BCB/SGS;PIB (R$ milhões);4380;https://api.bcb.gov.br/dados/serie/bcdata.sgs.{codigo}/dados?formato=json;https://api.bcb.gov.br/dados/serie/bcdata.sgs.4380/dados?formato=json;Nome no old_script: "PIB (R$ Milhões)"
BACEN;BCB/SGS;Venda automóvel de passeio;7384;https://api.bcb.gov.br/dados/serie/bcdata.sgs.{codigo}/dados?formato=json;https://api.bcb.gov.br/dados/serie/bcdata.sgs.7384/dados?formato=json;
BACEN;BCB/SGS;Venda automóvel comercial leve;7385;https://api.bcb.gov.br/dados/serie/bcdata.sgs.{codigo}/dados?formato=json;https://api.bcb.gov.br/dados/serie/bcdata.sgs.7385/dados?formato=json;
BACEN;BCB/SGS;INCC-M índice;7456;https://api.bcb.gov.br/dados/serie/bcdata.sgs.{codigo}/dados?formato=json;https://api.bcb.gov.br/dados/serie/bcdata.sgs.7456/dados?formato=json;
BACEN;BCB/SGS;IPC Fipe in natura índice;7468;https://api.bcb.gov.br/dados/serie/bcdata.sgs.{codigo}/dados?formato=json;https://api.bcb.gov.br/dados/serie/bcdata.sgs.7468/dados?formato=json;
BACEN;BCB/SGS;IPC Fipe índice;7470;https://api.bcb.gov.br/dados/serie/bcdata.sgs.{codigo}/dados?formato=json;https://api.bcb.gov.br/dados/serie/bcdata.sgs.7470/dados?formato=json;
BACEN;BCB/SGS;SINAPI índice;7495;https://api.bcb.gov.br/dados/serie/bcdata.sgs.{codigo}/dados?formato=json;https://api.bcb.gov.br/dados/serie/bcdata.sgs.7495/dados?formato=json;
BACEN;BCB/SGS;IRPF;7616;https://api.bcb.gov.br/dados/serie/bcdata.sgs.{codigo}/dados?formato=json;https://api.bcb.gov.br/dados/serie/bcdata.sgs.7616/dados?formato=json;
BACEN;BCB/SGS;Crédito consignado (R$ milhões);20579;https://api.bcb.gov.br/dados/serie/bcdata.sgs.{codigo}/dados?formato=json;https://api.bcb.gov.br/dados/serie/bcdata.sgs.20579/dados?formato=json;
BACEN;BCB/SGS + IBGE/SIDRA;IPCA seguro saúde índice;4461 (BCB) + /t/7060/n1/all/v/63/p/all/c315/7695/d/v63%202 (SIDRA);https://api.bcb.gov.br/dados/serie/bcdata.sgs.{codigo}/dados?formato=json;https://api.bcb.gov.br/dados/serie/bcdata.sgs.4461/dados?formato=json;Série BCB (4461) até dez/2019. A partir de jan/2020 usa SIDRA: https://apisidra.ibge.gov.br/values/t/7060/n1/all/v/63/p/all/c315/7695/d/v63%202
BACEN;BCB/SGS;Saldo crédito rural;20597 + 20609;https://api.bcb.gov.br/dados/serie/bcdata.sgs.{codigo}/dados?formato=json;https://api.bcb.gov.br/dados/serie/bcdata.sgs.20597/dados?formato=json + https://api.bcb.gov.br/dados/serie/bcdata.sgs.20609/dados?formato=json;Soma das séries 20597 e 20609. Histórico complementado pelo arquivo auxiliar: NAO APAGAR - 2048.csv. Nome no old_script: "Saldo crédito Setor rural"
IPEA;BCB/SGS;Produção automóveis;1374;https://api.bcb.gov.br/dados/serie/bcdata.sgs.{codigo}/dados?formato=json;https://api.bcb.gov.br/dados/serie/bcdata.sgs.1374/dados?formato=json;
IPEA;BCB/SGS;Saldo de crédito pessoas físicas;20541;https://api.bcb.gov.br/dados/serie/bcdata.sgs.{codigo}/dados?formato=json;https://api.bcb.gov.br/dados/serie/bcdata.sgs.20541/dados?formato=json;
IPEA;BCB/SGS;Rendimento nominal poupança - índice;7828;https://api.bcb.gov.br/dados/serie/bcdata.sgs.{codigo}/dados?formato=json;https://api.bcb.gov.br/dados/serie/bcdata.sgs.7828/dados?formato=json;
IPEA;BCB/SGS;IPI automóveis;7628;https://api.bcb.gov.br/dados/serie/bcdata.sgs.{codigo}/dados?formato=json;https://api.bcb.gov.br/dados/serie/bcdata.sgs.7628/dados?formato=json;Nome no old_script: "IPI automóveis (descontinuado)"
IPEA;IBGE/SIDRA;Poupança nacional bruta;/t/2072/n1/all/v/940/p/all;https://apisidra.ibge.gov.br/values;https://apisidra.ibge.gov.br/values/t/2072/n1/all/v/940/p/all;Filtrado a partir de jan/2001
IPEA;IBGE/SIDRA;PIB construção civil índice;/t/1620/n1/all/v/all/p/all/c11255/90694/d/v583%202;https://apisidra.ibge.gov.br/values;https://apisidra.ibge.gov.br/values/t/1620/n1/all/v/all/p/all/c11255/90694/d/v583%202;Filtrado a partir de jan/2001
IPEA;IBGE/SIDRA;Produção industrial média índice;/t/8888/n1/all/v/12606/p/all/c544/129314/d/v12606%205;https://apisidra.ibge.gov.br/values;https://apisidra.ibge.gov.br/values/t/8888/n1/all/v/12606/p/all/c544/129314/d/v12606%205;Filtrado a partir de jan/2001
IPEA;IBGE/SIDRA;PIB indústria;/t/1846/n1/all/v/all/p/all/c11255/90691/d/v585%200;https://apisidra.ibge.gov.br/values;https://apisidra.ibge.gov.br/values/t/1846/n1/all/v/all/p/all/c11255/90691/d/v585%200;Filtrado a partir de jan/2001
IPEA;IBGE/SIDRA;Vendas materiais construção - índice;/t/8757/n1/all/v/7169/p/all/c11046/56731/d/v7169%205;https://apisidra.ibge.gov.br/values;https://apisidra.ibge.gov.br/values/t/8757/n1/all/v/7169/p/all/c11046/56731/d/v7169%205;Filtrado a partir de jan/2001
IPEA;IBGE/SIDRA;Vendas nominais de móveis e eletrodomésticos - índice;/t/8882/n1/all/v/7169/p/all/c11046/56733/c85/2759/d/v7169%205;https://apisidra.ibge.gov.br/values;https://apisidra.ibge.gov.br/values/t/8882/n1/all/v/7169/p/all/c11046/56733/c85/2759/d/v7169%205;Filtrado a partir de jan/2001
IPEA;IBGE/SIDRA;Insumos construção civil - índice;/t/8886/n1/all/v/12606/p/all/d/v12606%205;https://apisidra.ibge.gov.br/values;https://apisidra.ibge.gov.br/values/t/8886/n1/all/v/12606/p/all/d/v12606%205;Filtrado a partir de jan/2001
IPEA;MDIC/ComexStat;Exportações;;https://api-comexstat.mdic.gov.br/general;https://api-comexstat.mdic.gov.br/general?filter=...;Parâmetros: yearStart=2001 monthDetail=true metricFOB=true. Ano de corte = ano corrente. Campo usado: vlFob. Nome no old_script: nome completo com fonte MDIC
